DESIGN,DAY,CAVITY,STRENGTH
NEW,20,20,224
NEW,21,20,224
NEW,22,20,133
NEW,23,20,209
NEW,24,20,93
NEW,25,20,213
NEW,26,20,215
NEW,27,20,215
NEW,28,20,215
NEW,29,20,218
NEW,30,20,225
NEW,31,20,228
NEW,32,20,137
NEW,1,21,217
NEW,2,21,227
NEW,3,21,223
NEW,4,21,130
NEW,5,21,144
NEW,6,21,227
NEW,7,21,227
NEW,8,21,226
NEW,9,21,223
NEW,10,21,227
NEW,11,21,227
NEW,12,21,125
NEW,13,21,145
NEW,14,21,221
NEW,15,21,222
NEW,16,21,116
NEW,17,21,147
NEW,18,21,223
NEW,19,21,223
NEW,20,21,130
NEW,21,21,223
NEW,22,21,129
NEW,23,21,224
NEW,24,21,216
NEW,25,21,133
NEW,26,21,222
NEW,27,21,216
NEW,28,21,112
NEW,29,21,230
NEW,30,21,227
NEW,31,21,150
NEW,32,21,225
NEW,1,22,218
NEW,2,22,227
NEW,3,22,218
NEW,4,22,218
NEW,5,22,212
NEW,6,22,226
NEW,7,22,226
NEW,8,22,167
NEW,9,22,227
NEW,10,22,227
NEW,11,22,225
NEW,12,22,144
NEW,13,22,230
NEW,14,22,221
NEW,15,22,221
NEW,16,22,223
NEW,17,22,224
NEW,18,22,222
NEW,19,22,225
NEW,20,22,225
NEW,21,22,225
NEW,22,22,224
NEW,23,22,226
NEW,24,22,222
NEW,25,22,225
NEW,26,22,223
NEW,27,22,221
NEW,28,22,208
NEW,29,22,225
NEW,30,22,227
NEW,31,22,133
NEW,32,22,217
NEW,1,23,218
NEW,2,23,226
NEW,3,23,217
NEW,4,23,171
NEW,5,23,159
NEW,6,23,227
NEW,7,23,227
NEW,8,23,226
NEW,9,23,226
NEW,10,23,226
NEW,11,23,226
NEW,12,23,217
NEW,13,23,117
NEW,14,23,222
NEW,15,23,107
NEW,16,23,121
NEW,17,23,225
NEW,18,23,222
NEW,19,23,226
NEW,20,23,124
NEW,21,23,225
NEW,22,23,140
NEW,23,23,217
NEW,24,23,133
NEW,25,23,157
NEW,26,23,99
NEW,27,23,227
NEW,28,23,214
NEW,29,23,132
NEW,30,23,230
NEW,31,23,133
NEW,32,23,138
NEW,1,24,217
NEW,2,24,153
NEW,3,24,225
NEW,4,24,226
NEW,5,24,213
NEW,6,24,226
NEW,7,24,130
NEW,8,24,227
NEW,9,24,159
NEW,10,24,156
NEW,11,24,225
NEW,12,24,152
NEW,13,24,225
NEW,14,24,220
NEW,15,24,117
NEW,16,24,223
NEW,17,24,225
NEW,18,24,224
NEW,19,24,224
NEW,20,24,224
NEW,21,24,226
NEW,22,24,149
NEW,23,24,116
NEW,24,24,217
NEW,25,24,225
NEW,26,24,225
NEW,27,24,225
NEW,28,24,215
NEW,29,24,227
NEW,30,24,227
NEW,31,24,226
NEW,32,24,147
